# One owner for the fleet unit list.
#
# WHY THIS FILE EXISTS. The same list of units was hand-maintained in six places
# (profiles/daily_plan_task.md, profiles/eod_summary_task.md,
# profiles/overnight_morning_report_cc_task.md, bin/overnight_pre_snapshot.sh,
# bin/praetorium-status.sh, bin/local_tier_eval.sh) and the six disagreed in six ways.
# The best of them covered 9 standing units; eight units appeared in NONE of them, so
# `raw-ingest`, `knowledge-digest`, `m1-signal-scan`, `content-change-dispatch`,
# `fleet-eval`, `fleet-turn-check`, `inbox-backlog-alert` and `buzz-pr-watch` were
# invisible to every report on the box. This file replaces those six lists. It must not
# become a seventh: a consumer that needs a different subset FILTERS this file, and a
# consumer that needs a unit not declared in design/agents/*.toml is telling you the
# manifest is wrong, not that it needs its own list.
#
# WHY IT IS A COMMITTED LITERAL AND NOT GENERATED AT RUN TIME. bin/deploy ships
# `bin profiles docs CLAUDE.md AGENTS.md README.md config systemd` — `design/` is NOT
# among them and ~/agent-workforce/design does not exist. Anything reading the manifests
# at run time works in the repo and silently empties in the tree systemd actually execs.
# So the manifests stay the source, this file is their materialised projection, and
# tests/test_fleet_ownership.sh asserts the two are equal. That is open-decisions.md D4's
# answer (b) — literals kept, asserted against the manifest — applied to a second list.
#
# HOW TO CHANGE IT. Edit design/agents/<persona>.toml first, then re-materialise here.
# The test fails in both directions, so neither half can drift alone.
#
# SCOPE IS LOAD-BEARING. `user` units are invisible to system-scope systemctl. A consumer
# that ignores this column reports a live user timer as missing. Until 2026-09-02 scope was
# stated in prose only, which is exactly why buzz-pr-watch and both nekovri entries were
# counted as system-scope by everything that did not read their notes.
#
# KIND IS LOAD-BEARING FOR THE SAME REASON, one column over (2026-09-03, brief 7). Every
# row here was a timer until the five buzz-agent@* units arrived, so every consumer could
# append ".timer" to a unit name unconditionally and be right 30 times out of 30. Those five
# are Type=simple services with no timer at all — always on, woken by a Buzz mention — and
# an unconditional ".timer" asks the user manager for buzz-agent@marcus.timer, which does
# not exist. systemctl answers "Unit ... could not be found", which renders identically to a
# unit that was deleted. That is the scope defect's exact shape: a live, healthy unit
# reported as missing, in a report whose whole job is to say what is missing.
#
# So a consumer that lists TIMERS filters `$5=="timer"`, and one that wants unit STATE does
# not need to filter at all (is-active works on both). Neither may append ".timer" blind.
#
# STATUS FILTER IS THE CONSUMER'S CALL, AND IT MUST BE STATED WHERE IT IS MADE.
#   standing = 28 (22 system + 6 user)   <- what the reporting jobs report on
#   campaign = 3, dormant = 2, spent = 2 <- deliberately excluded from routine reports
# Of the 28 standing, 23 are kind=timer and 5 are kind=service (the buzz-agent@* fleet).
# Do not hardcode those counts anywhere; derive them from this file.
#
#unit	scope	status	owner	kind
agent-drift-check	system	standing	trajan	timer
agent-inbox-sync	system	standing	trajan	timer
agent-proposal	system	standing	claudius	timer
agent-workforce-auto-sync	system	standing	trajan	timer
augustus-content	system	standing	augustus	timer
bd-followup-drafts	system	dormant	claudius	timer
bd-stall-radar	system	dormant	claudius	timer
buzz-agent@augustus	user	standing	augustus	service
buzz-agent@aurelian	user	standing	aurelian	service
buzz-agent@claudius	user	standing	claudius	service
buzz-agent@marcus	user	standing	marcus	service
buzz-agent@trajan	user	standing	trajan	service
buzz-pr-watch	user	standing	trajan	timer
content-change-dispatch	system	standing	augustus	timer
fleet-eval	system	standing	trajan	timer
fleet-turn-check	system	standing	trajan	timer
inbox-backlog-alert	system	standing	trajan	timer
knowledge-digest	system	standing	claudius	timer
local-tier-eval	system	standing	trajan	timer
m1-signal-scan	system	standing	claudius	timer
memory-consolidation	system	standing	trajan	timer
nekovri-subsidy-kickoff	user	spent	trajan	timer
nekovri-subsidy-watchdog	user	spent	trajan	timer
overnight-morning-report	system	standing	marcus	timer
overnight-pre-snapshot	system	standing	trajan	timer
praetorium-daily-plan	system	standing	marcus	timer
praetorium-eod-summary	system	standing	marcus	timer
qmd-refresh	system	standing	trajan	timer
raw-ingest	system	standing	claudius	timer
scorecard	system	standing	trajan	timer
ttm-pool-drain	system	standing	trajan	timer
weekly-pre-assembly	system	standing	marcus	timer
